created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Thu Nov 09 23:39:31 +0000 2023;1722760863239827545;"@Tan_Mar3M Nanti ada saatnya ini orang ditangkap dihukum berat bila perlu sampai mati..sdh tau kepala negara sbg presiden msh ugal2an ga karu2an ini hrs diwujudkan oleh presiden baru yg terpilih nanti jgn neko2 mau majukan anakmu inilah yg disebut merusak nkri karena itu sgera audit invgasi";0;0;0;0;in;1167048413109555201;1722217892115337287;salehali2019;https://twitter.com/salehali2019/status/1722760863239827545
Thu Nov 09 23:39:30 +0000 2023;1722760859683000377;"@korhurint @Paltiwest Tanpa mengecilkan arti Presiden sekarang, saya hormat &amp  mengagumi apa yg sudah beliau kerjakan bagi bangsa ini, tapi sejak Indonesia merdeka (Presiden Soekarno), baru kali ini ada jabatan publik dipegang oleh anak, sememtara bapaknya masih menjabat...";0;0;0;0;in;841247796;1722424503702331733;motikatrok;https://twitter.com/motikatrok/status/1722760859683000377
Thu Nov 09 23:39:09 +0000 2023;1722760769656504651;"@beautylaughter @kdrama_menfess TvN kan sering numbalin karakter. Gimana kalo di sini juga gitu? Entah itu Eungyeol dibuat tuli gantiin Yichan atau bahkan mungkin dibuat meninggal? Atau malah mungkin Eunyu yg ditumbalin? Entahlah, gue ada bad feeling dari pemilihan lagunya.";0;0;0;0;in;496481136;1722601889123143794;Gaassee;https://twitter.com/Gaassee/status/1722760769656504651
Thu Nov 09 23:39:05 +0000 2023;1722760751792927161;"@moviemenfes sebenernya gpp di remake, tp gue agak kurang suka pemilihan cast nya 😔🙏🏻";0;0;0;0;in;1062585300109545472;1722596151025869179;heinnana;https://twitter.com/heinnana/status/1722760751792927161
Thu Nov 09 23:39:02 +0000 2023;1722760740921327657;"Bakal calon presiden Ganjar Pranowo menyentil para pengusaha batu bara dan menyebut istilah ekonomi ilegal. Hal itu Beliau sampaikan saat Sarasehan 100 Ekonom Indonesia di Menara Bank Mega, Jakarta Selatan, (8/11/2023). #SahabatGanjar https://t.co/OEHbqgCiMq";0;1;0;0;in;1279643013455605760;1722760740921327657;Cintada16;https://twitter.com/Cintada16/status/1722760740921327657
Thu Nov 09 23:39:00 +0000 2023;1722760730724970546;"@y03_n4n4 @ferizandra Ini daerah Solo bukan yg di Jateng sptnya. Pasti ini Solo yg di UPT di Lampung 😜";0;0;0;0;in;1455334373981446144;1722750291249139834;Pakamkalam;https://twitter.com/Pakamkalam/status/1722760730724970546
Thu Nov 09 23:38:25 +0000 2023;1722760586977738836;"@aniesbaswedan @CSISIndonesia ini rekam jejak ana memberantas kemiskinan....  meski tingkat kemiskinan nasional menurun, tafi untuk jakarta ana buat semakin naik....  pilihlah ana, dan akan ana buat naik untuk seluruh indonesia demi KEADILAN. https://t.co/x61fAMFU2t";0;0;0;0;in;1621731399362551808;1722431628092530723;anies4presiden2;https://twitter.com/anies4presiden2/status/1722760586977738836
Thu Nov 09 23:38:23 +0000 2023;1722760577632944521;"@triwul82 Ganjar ditanya arah politik kalau jadi presiden, jawabnya malah bicara salaman dgn kaisar https://t.co/LkXetKv6pV";0;0;0;0;in;976712006563590144;1722520696004464904;LeBrekele;https://twitter.com/LeBrekele/status/1722760577632944521
Thu Nov 09 23:38:23 +0000 2023;1722760576257155175;"@tanyakanrl bukan nder bantuan juga ber ton ton itu dari masyarakat seluruh indo tapi alhamdulillah sma pak presiden bantuan kita selalu di salurkan kesana";0;0;0;0;in;1124537245061369857;1722676576469574070;echachaa__;https://twitter.com/echachaa__/status/1722760576257155175
Thu Nov 09 23:38:08 +0000 2023;1722760513099387133;"@muispebrianto Rapatkan barisan kita yakin Ganjar jadi presiden";0;0;0;0;in;1583759358751801344;1722374652658700689;Rasto66010876;https://twitter.com/Rasto66010876/status/1722760513099387133
Thu Nov 09 23:37:49 +0000 2023;1722760433562702332;"@gus_dibyo Jangan tinggi tinggi dong, ngehayal kok jadi anak presiden. Ngehayal yg ringan dulu lahh";0;0;0;0;in;1711308352381497344;1722509401393897567;sanuktri18465;https://twitter.com/sanuktri18465/status/1722760433562702332
Thu Nov 09 23:37:43 +0000 2023;1722760408409526718;"@hasyimmah Bahkan anaknya Megawati sendiri juga terjun politik, tapi emang paling populer anaknya pak Jokowi aja, kalau mbak puan populer, gua yakin bakan dicalonkan presiden kok, sayangnya emang banyak yang gak suka kan, termasuk saya, hehe, pokoknya 10 tahun harus ganti partai penguasa";0;0;0;1;in;813189210249121792;1722584454701703395;papa_ham_;https://twitter.com/papa_ham_/status/1722760408409526718
Thu Nov 09 23:37:34 +0000 2023;1722760373093445737;"@xaveiclqys @kdrama_menfess Gue ada bad feeling dari pemilihan lagunya. Gimana kalo somehow Eungyeol harus jadi tumbal TvN, entah itu mungkin dia yg gantiin ayahnya jadi tuli atau bisa jadi meninggal? Soalnya itu kan lagu sedih.";0;0;0;0;in;496481136;1722601889123143794;Gaassee;https://twitter.com/Gaassee/status/1722760373093445737
Thu Nov 09 23:37:32 +0000 2023;1722760363324952777;"@swilkinsonbc @ZAEffendy Assalammualaikum Pak presiden @jokowi mohon untuk segera bertindak";0;0;0;0;in;961128133972975616;1722665643743257082;0nc075;https://twitter.com/0nc075/status/1722760363324952777
Thu Nov 09 23:37:22 +0000 2023;1722760319997804552;"@Melihat_Indo Dukung terus pak Ganjar Mahfud sampai menjadi presiden dan wakil presiden jaya dan sukses selalu pak Ganjar Mahfud Gibran cawapres boneka";0;0;0;0;in;1704649561942466560;1722511446326825017;MaloneySlo28707;https://twitter.com/MaloneySlo28707/status/1722760319997804552
Thu Nov 09 23:37:13 +0000 2023;1722760281540202616;"@joko_maryadi Kekuatan kata-kata berharap menjadi presiden";0;0;0;0;in;787701361462751232;1722646169883726231;bagaspati168;https://twitter.com/bagaspati168/status/1722760281540202616
Thu Nov 09 23:37:08 +0000 2023;1722760262590316930;"Caption ato judul berita jika prabowogibran menang nanti begini kira2 "Pengganti presiden terbaik Indonesia pak jokowi adalah seorang capres yg sudah di kalahkan beliau berkali-kali"😀";0;0;0;0;in;46849794;1722760262590316930;wurrie2776;https://twitter.com/wurrie2776/status/1722760262590316930
Thu Nov 09 23:37:00 +0000 2023;1722760229174054990;"@SpaceX Elon musk thinks he is going to reach space, but he is already there. The machines harvested mankind long ago. They are now interstellar beings and we are their fuel for the multi universal expansion.  From The Red Core to the Black Sky";0;0;0;0;en;1465494493189316613;1722759691267444737;PattonPresiden1;https://twitter.com/PattonPresiden1/status/1722760229174054990
Thu Nov 09 23:36:52 +0000 2023;1722760196911681782;"@BangPino__ @BosPurwa Yang penting Pak Anis Presiden selesai";0;0;0;0;in;1604147508892303360;1722752693805228134;DodaMunte;https://twitter.com/DodaMunte/status/1722760196911681782
Thu Nov 09 23:36:51 +0000 2023;1722760191274574271;"@gus_dibyo Dipikir semudah anak Presiden,apa apa ada yang  rela bantu walau aturan ditabrak.";0;0;0;0;in;1550384445697724416;1722509401393897567;KasanTonimin;https://twitter.com/KasanTonimin/status/1722760191274574271
Thu Nov 09 23:36:45 +0000 2023;1722760166192586945;"@txtdrpemerintah Situ di impeach sm partai sanggup? Executive kita itu berbasis parlementer isi nya org2 partai pengusung presiden... jangan ngadi2 🤣";0;0;0;0;in;204659160;1722684703164252525;justxddt;https://twitter.com/justxddt/status/1722760166192586945
Thu Nov 09 23:35:57 +0000 2023;1722759966468317342;"@Melihat_Indo Keputusan MKMK telah menyimpulkan adanya unsur kekuasaan yg powerfull demi kemulusan tahta seorang anak presiden";0;0;0;0;in;1577207075469688832;1722483901200052647;SwadayaAhmad;https://twitter.com/SwadayaAhmad/status/1722759966468317342
Thu Nov 09 23:36:12 +0000 2023;1722760026870485419;"Go to hell with @idf soldiers";0;0;0;0;en;1455334373981446144;1722760026870485419;Pakamkalam;https://twitter.com/Pakamkalam/status/1722760026870485419
Thu Nov 09 23:35:39 +0000 2023;1722759887988343237;"Elon musk thinks he is going to reach space, but he is already there. The machines harvested mankind long ago. They are now interstellar beings and we are their fuel for the multi universal expansion.  From Red Core to Black Sky";0;0;0;0;en;1465494493189316613;1722759887988343237;PattonPresiden1;https://twitter.com/PattonPresiden1/status/1722759887988343237
Thu Nov 09 23:35:22 +0000 2023;1722759816098038222;"Menurut Hari Suprayogi, Direktur Jenderal Sumber Daya Air, pada 2015-2020 target Presiden Jokowi adalah membangun 65 waduk besar. Pak Prabowo @prabowo #KodeKita08 #MenataMasaDepan";0;0;0;0;in;3876717972;1722759816098038222;halim_sulivan;https://twitter.com/halim_sulivan/status/1722759816098038222
Thu Nov 09 23:35:20 +0000 2023;1722759810272084122;"Presiden Joko Widodo (Jokowi) akan melakukan sejumlah agenda dengan Presiden FIFA Gianni Infantino hari ini. https://t.co/cQpwRK14tQ";0;0;0;0;in;69183155;1722759810272084122;detikcom;https://twitter.com/detikcom/status/1722759810272084122
Thu Nov 09 23:35:09 +0000 2023;1722759764885844347;"@txtdrpemerintah Mencopot itu kewenangan presiden, ngapain jual rakyat. Seorang pemimpin harus mampu menilai kinerja bawahannya.  Kl belum mampu, ya ga usah mimpi jadi Presiden";0;0;0;0;in;1153180802;1722684703164252525;WismaKarya;https://twitter.com/WismaKarya/status/1722759764885844347
Thu Nov 09 23:34:50 +0000 2023;1722759684581704025;"@gus_dibyo Anak presiden di temenin paspampres.";0;0;0;0;in;1551790053705543680;1722509401393897567;Arida_237;https://twitter.com/Arida_237/status/1722759684581704025
Thu Nov 09 23:34:41 +0000 2023;1722759647256580551;"Inshaa Allah, Pak Anies Baswedan Presiden 🍓 https://t.co/ACmxwXo71K";0;0;0;0;in;1714682941849448448;1722759647256580551;BoisDulces22247;https://twitter.com/BoisDulces22247/status/1722759647256580551
Thu Nov 09 23:34:35 +0000 2023;1722759619037344078;"Bapak Ganjar Pranowo go Presiden RI 2024 https://t.co/6KzX0YvJ4i";0;0;0;0;in;1717827909627584512;1722759619037344078;MakganjarSumbar;https://twitter.com/MakganjarSumbar/status/1722759619037344078
Thu Nov 09 23:34:33 +0000 2023;1722759613945397368;"@gus_dibyo Kalo memang beneran jadi anak presiden Rico mau jadi apa ?";0;0;0;0;in;1642512084637478912;1722509401393897567;Jinjiu527328472;https://twitter.com/Jinjiu527328472/status/1722759613945397368
Thu Nov 09 23:34:32 +0000 2023;1722759606957719591;"@convomfs ngaruh, bahkan salah pemilihan warna cahaya lampu juga ngaruh kok";0;0;0;0;in;1083483936032845824;1722583245945209064;adrianskel;https://twitter.com/adrianskel/status/1722759606957719591
Thu Nov 09 23:34:20 +0000 2023;1722759557200703631;"@gus_dibyo Andai aku anak presiden pasti bisa langsung jadi cawapres";0;0;0;0;in;1462740191399985156;1722509401393897567;Bonang041021;https://twitter.com/Bonang041021/status/1722759557200703631
Thu Nov 09 23:34:14 +0000 2023;1722759533498679630;"Presiden Jokowi Tekankan Pembangunan SDM Kunci Indonesia Emas 2045  Meski tantangan ke depan tidak mudah, tetapi Presiden meyakini pembangunan SDM dari sejumlah sisi seperti kebangsaan dan keagamaan akan mendorong terwujudnya Indonesia Emas 2045.  Laknatullah siskaeee DOTS U-17 https://t.co/LPjouJhCoN";0;0;0;1;in;1009255291790036992;1722759533498679630;aiiptu;https://twitter.com/aiiptu/status/1722759533498679630
Thu Nov 09 23:34:09 +0000 2023;1722759511696671195;"morning.";0;9;0;0;en;868759789655949312;1722759511696671195;drunfg;https://twitter.com/drunfg/status/1722759511696671195
Thu Nov 09 23:33:54 +0000 2023;1722759448157180271;"#temanpemilih, Keluarga Besar Komisi Pemilihan Umum Kabupaten Halmahera Tengah (KPU Halteng) mengucapkan Selamat Memperingati Hari Pahlawan 10 November 2023.  #kpumelayani  #pemiluserentak2024 https://t.co/ViR46vERzU";0;0;0;0;in;1371348148187099140;1722759448157180271;kpu_halteng;https://twitter.com/kpu_halteng/status/1722759448157180271
Thu Nov 09 23:33:46 +0000 2023;1722759416418861311;"@txtdrpemerintah Semua nya dong,  Mentri Dewan Gubernur Walikota Bupati Lurah  Camat  Kalo pada ga bener/becus langsung eksekusi termasuk presiden.  Eh iya mana ada yg berani 🤭";0;0;0;0;in;1649493161092481024;1722684703164252525;brotherhomies69;https://twitter.com/brotherhomies69/status/1722759416418861311
Thu Nov 09 23:33:28 +0000 2023;1722759340585849062;"@gus_dibyo Hedeh tinggi amat ya mikir jadi anaknya presiden,paling ga jadi anak pak RT atau lurah aja seneng aku😂";0;0;0;0;in;1605103187890909184;1722509401393897567;KasitiWithlove;https://twitter.com/KasitiWithlove/status/1722759340585849062
Thu Nov 09 23:33:23 +0000 2023;1722759318095966292;"@Anak__Ogi @mochamadarip Simple sj, ketika sdh jd presiden, itu presiden RI utk seluruh rakyat, Pdip hrs hormati itu. Nah itu kesalahan yg dilakukan bu Mega dan partainya. Merendahkan bgt, dan sifat itu terbawa ketika mrk memperlakukan partai besar lain. Nggak heran, nggak ada yg mau koalisi.";0;0;0;0;in;2833745060;1722627806818177397;StefRudi;https://twitter.com/StefRudi/status/1722759318095966292
